J032811.07+271826.0  52.0461376  27.3072234   20.0  -47.4 1.7 1.7 11.756 0.088 10.931 0.072 10.587  0.027 11.101  0.044 10.376  0.039  9.501 0.024  9.211 0.033  9.100 0.020 AAA  9.038 0.025  9.072 0.022  9.044 0.029  8.959 0.468 0.9915   5500  125  8.005e-01  1.4e-01
J032856.70+261831.0  52.2362558  26.3086229   21.8  -49.8 1.1 1.1  8.779 0.019  8.435 0.015    ---    ---    ---    ---    ---    ---  7.741 0.035  7.681 0.063  7.593 0.021 AAA  7.564 0.025  7.592 0.020  7.597 0.018  7.503 0.134 0.9948   7000  125  5.620e+00  9.3e-01
J032938.35+243037.6  52.4098023  24.5104570   22.7  -42.8 2.3 2.5 15.325 0.940 11.804 0.180 11.892  0.100 12.595  0.021 11.565  0.061 10.318 0.026  9.856 0.030  9.698 0.018 AAA  9.646 0.022  9.655 0.021  9.648 0.047    ---   --- 0.9385   4750  125  3.207e-01  5.9e-02
J033115.95+251519.7  52.8164667  25.2554694   22.2  -45.3 0.8 0.8  8.440 0.016  8.165 0.013  9.179  0.071  9.751  0.105  8.417  0.095  7.587 0.019  7.507 0.021  7.457 0.018 AAA  7.416 0.026  7.450 0.021  7.445 0.018  7.273 0.118 0.9986   7250  125  6.887e+00  1.2e+00
J033128.34+214918.9  52.8680942  21.8219091   23.8  -48.8 0.7 0.7  9.352 0.021  8.884 0.016  9.223  0.029  9.791  0.034  8.769  0.004  8.071 0.023  7.890 0.017  7.824 0.023 AAA  7.808 0.024  7.840 0.021  7.791 0.018  7.818 0.185 0.8780   6500  125  3.923e+00  6.5e-01
J033133.63+261555.8  52.8901085  26.2654869   20.4  -37.9 2.2 2.4 11.620 0.090 10.750 0.068 10.577  0.100 11.047  0.041 10.367  0.012  9.514 0.020  9.222 0.022  9.068 0.017 AAA  9.048 0.022  9.097 0.020  9.059 0.031  8.700 0.419 0.9734   5750  125  8.515e-01  1.5e-01
J033305.82+220803.2  53.2742649  22.1342202   21.4  -49.3 1.6 1.7 12.306 0.225 11.521 0.149 11.135  0.011 11.775  0.017 10.934  0.045  9.897 0.018  9.522 0.017  9.425 0.020 AAA  9.401 0.022  9.458 0.021  9.415 0.037  8.866 0.491 0.9662   5250  125  5.079e-01  9.6e-02
J033313.88+230023.1  53.3078294  23.0064126   19.5  -49.2 2.5 2.6 13.420 0.380 11.535 0.118 11.668  0.100 12.441  0.060 11.377  0.042 10.259 0.020  9.787 0.021  9.669 0.014 AAA  9.608 0.024  9.663 0.020  9.662 0.045    ---   --- 0.9566   5000  125  3.647e-01  6.9e-02
J033401.81+245251.2  53.5075446  24.8808994   20.8  -42.1 1.6 1.6 11.704 0.079 10.932 0.072 10.691  0.011 11.236  0.049 10.506  0.025  9.582 0.022  9.269 0.022  9.178 0.018 AAA  9.142 0.022  9.188 0.020  9.213 0.037    ---   --- 0.9763   5500  125  7.439e-01  1.3e-01
J033407.31+242040.0  53.5304575  24.3444436   20.8  -43.5 0.9 0.9 10.119 0.032  9.645 0.030  9.431  0.100 10.309  0.053  9.329  0.028  8.553 0.034  8.312 0.021  8.274 0.018 AAA  8.259 0.022  8.283 0.020  8.255 0.022  8.451 0.322 0.9985   6250  125  2.266e+00  3.9e-01
J033458.66+233148.5  53.7444322  23.5301485   20.2  -42.5 1.0 0.9  9.281 0.022  8.891 0.019    ---    ---    ---    ---    ---    ---  8.110 0.024  8.020 0.015  7.957 0.023 AAA  7.912 0.023  7.932 0.021  7.902 0.020  7.358 0.120 0.9959   6750  125  3.836e+00  6.3e-01
J033531.69+224924.9  53.8820554  22.8235899   21.0  -44.4 1.2 1.3 10.484 0.036  9.897 0.032  9.730  0.002    ---    ---  9.602  0.026  8.831 0.026  8.599 0.024  8.541 0.017 AAA  8.510 0.024  8.561 0.020  8.496 0.023  8.338 0.277 0.9990   6250  125  1.750e+00  2.9e-01
J033608.46+272034.7  54.0352415  27.3429758   22.5  -48.2 1.3 1.2 10.001 0.028  9.367 0.022  9.152  0.100    ---    ---  9.128  0.046  8.188 0.018  7.916 0.017  7.880 0.029 AAA  7.848 0.024  7.876 0.022  7.842 0.019  7.872 0.195 0.9280   6000  125  2.971e+00  5.1e-01
J033610.76+261552.4  54.0448303  26.2645515    9.7  -48.8 2.1 2.1 10.942 0.056 10.339 0.047 10.063  0.100    ---    ---  9.894  0.004  9.043 0.023  8.784 0.026  8.713 0.018 AAA  8.674 0.023  8.703 0.021  8.687 0.025  8.789 0.402 0.4979   5750  125  1.283e+00  2.2e-01
J033704.01+292355.5  54.2667119  29.3987394   26.7  -42.7 1.9 2.0 11.719 0.100 10.700 0.068 10.324  0.077 10.935  0.022 10.085  0.026  9.118 0.022  8.762 0.026  8.676 0.018 AAA  8.619 0.023  8.660 0.022  8.683 0.027    ---   --- 0.4840   5250  125  1.040e+00  1.8e-01
