logAge,Bmag,Vmag
7.5,12.401,10.949
7.5,12.306,10.858
7.5,12.027,10.592
7.5,11.693,10.269
7.5,11.681,10.257
7.5,11.525,10.106
7.5,11.359,9.944
7.5,11.264,9.852
7.5,11.058,9.653
7.5,11.036,9.631
7.5,10.924,9.523
7.5,10.696,9.301
7.5,10.674,9.279
7.5,10.281,8.892
7.5,10.075,8.688
7.5,9.988,8.602
7.5,9.781,8.398
7.5,9.399,8.043
7.5,8.492,7.286
7.5,8.232,7.065
7.5,7.865,6.761
7.5,7.65,6.585
7.5,7.256,6.263
7.5,7.128,6.159
7.5,6.881,5.956
7.5,6.566,5.698
7.5,6.433,5.588
7.5,6.411,5.57
7.5,6.123,5.334
7.5,6.02,5.25
7.5,5.948,5.193
7.5,5.877,5.137
7.5,5.817,5.089
7.5,5.597,4.921
7.5,5.551,4.886
7.5,5.485,4.839
7.5,5.443,4.807
7.5,5.412,4.782
7.5,5.252,4.648
7.5,5.214,4.615
7.5,4.987,4.423
7.5,4.725,4.199
7.5,4.445,3.96
7.5,4.397,3.919
7.5,4.177,3.732
7.5,3.918,3.512
7.5,3.812,3.424
7.5,3.685,3.314
7.5,3.479,3.14
7.5,3.278,2.973
7.5,3.085,2.814
7.5,2.899,2.661
7.5,2.728,2.523
7.5,2.565,2.392
7.5,2.414,2.272
7.5,2.276,2.162
7.5,2.155,2.065
7.5,2.043,1.974
7.5,1.94,1.889
7.5,1.846,1.811
7.5,1.759,1.737
7.5,1.675,1.666
7.5,1.597,1.599
7.5,1.521,1.534
7.5,1.45,1.473
7.5,1.381,1.411
7.5,1.249,1.293
7.5,1.008,1.074
7.5,0.956,1.025
7.5,0.789,0.869
7.5,0.761,0.843
7.5,0.588,0.68
7.5,0.402,0.504
7.5,0.299,0.406
7.5,0.228,0.339
7.5,0.063,0.182
7.5,0.054,0.174
7.5,-0.092,0.034
7.5,-0.148,-0.019
7.5,-0.241,-0.107
7.5,-0.351,-0.213
7.5,-0.383,-0.243
7.5,-0.501,-0.356
7.5,-0.52,-0.374
7.5,-0.653,-0.501
7.5,-0.665,-0.513
7.5,-0.782,-0.625
7.5,-0.816,-0.657
7.5,-0.909,-0.747
7.5,-0.925,-0.762
7.5,-1.035,-0.868
7.5,-1.127,-0.956
7.5,-1.159,-0.988
7.5,-1.282,-1.106
7.5,-1.384,-1.205
7.5,-1.403,-1.224
7.5,-1.468,-1.287
7.5,-1.525,-1.341
7.5,-1.643,-1.457
7.5,-1.647,-1.46
7.5,-1.679,-1.491
7.5,-1.772,-1.582
7.5,-1.859,-1.667
7.5,-1.964,-1.77
7.5,-2.063,-1.867
7.5,-2.157,-1.96
7.5,-2.158,-1.961
7.5,-2.301,-2.103
7.5,-2.424,-2.225
7.5,-2.552,-2.353
7.5,-2.678,-2.479
7.5,-2.792,-2.593
7.5,-2.937,-2.74
7.5,-2.954,-2.757
7.5,-3.04,-2.843
7.5,-3.181,-2.987
7.5,-3.318,-3.126
7.5,-3.454,-3.265
7.5,-3.58,-3.394
7.5,-3.637,-3.452
7.5,-3.642,-3.452
7.5,-3.615,-3.42
7.5,-3.586,-3.387
7.5,-3.57,-3.367
7.5,-3.564,-3.358
7.5,-3.562,-3.355
7.5,-3.541,-3.338
7.5,-3.549,-3.348
7.5,-3.595,-3.4
7.5,-3.663,-3.473
7.5,-3.743,-3.558
7.5,-3.829,-3.649
7.5,-3.913,-3.739
7.5,-3.995,-3.826
7.5,-4.074,-3.909
7.5,-4.149,-3.989
7.5,-4.221,-4.067
7.5,-4.29,-4.141
7.5,-4.356,-4.214
7.5,-4.436,-4.301
7.5,-4.497,-4.368
7.5,-4.557,-4.434
7.5,-4.615,-4.498
7.5,-4.671,-4.56
7.5,-4.725,-4.62
7.5,-4.777,-4.678
7.5,-4.827,-4.734
7.5,-4.875,-4.788
7.5,-4.919,-4.838
7.5,-4.96,-4.887
7.5,-5,-4.934
7.5,-5.038,-4.979
7.5,-5.074,-5.022
7.5,-5.107,-5.063
7.5,-5.137,-5.102
7.5,-5.163,-5.138
7.5,-5.184,-5.17
7.5,-5.196,-5.197
7.5,-5.196,-5.215
7.5,-5.183,-5.227
7.5,-5.158,-5.233
7.5,-5.111,-5.228
7.5,-5.061,-5.218
7.5,-4.983,-5.2
7.5,-4.908,-5.18
7.5,-4.806,-5.149
7.5,-4.718,-5.121
7.5,-4.622,-5.087
7.5,-4.515,-5.049
7.5,-4.396,-5.007
7.5,-4.269,-4.957
7.5,-4.147,-4.906
7.5,-4.013,-4.847
7.5,-3.883,-4.785
7.5,-3.745,-4.715
